Ido,Restaurante,Prato,Descrição,Nota (1 a 5),Endereço,Bairro,Como chegar,Link,Telefone,Horários
FALSE,400 Steak Club,Pãozinho de Cupim,"Um delicioso pão de alho crocante, recheado com cupim e uma receita pra lá de especial.",,"Rua Jambeiro, 400 – Loja | Vila Valqueire, Rio de Janeiro – RJ",Vila Valqueire,"https://www.google.com/maps/search/?api=1&query=Rua%20Jambeiro,%20400%20–%20Loja%20|%20Vila%20Valqueire,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/400-steak-club/,(21) 3579-1497,"Segundas, das 12h às 24hTerças, das 12h às 24hQuartas, das 12h às 24hQuintas, das 12h às 24hSextas, das 12h às 24hSábados, das 12h às 24hDomingos, das 12h às 24h"
FALSE,Adega Pérola,Tilápia Mediterrânea,Tilápia empanada e molho mediterrâneo – acompanha homus e pão árabe.,,"Siqueira Campos, 138 – A | Copacabana, Rio de Janeiro – RJ",Copacabana,"https://www.google.com/maps/search/?api=1&query=Siqueira%20Campos,%20138%20–%20A%20|%20Copacabana,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/adega-perola/,(21) 2255-9425,"Segundas, das 11h à 1hTerças, das 11h à 1hQuartas, das 11h à 1hQuintas, das 11h à 1hSextas, das 11h à 1hSábados, das 11h à 1h"
FALSE,Angurmê,Borogodó de Fubá à Baiana do Cais do Valongo,"Croquetes de fubá com miúdos bovinos, rabada e bacon, acompanhados de geleia de pimenta, molho de mostarda e pasta de agrião.",,"Rua Visconde de Abaeté, 123 | Vila Isabel, Rio de Janeiro – RJ",Vila Isabel,"https://www.google.com/maps/search/?api=1&query=Rua%20Visconde%20de%20Abaeté,%20123%20|%20Vila%20Isabel,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/angurme/,(21) 99202-9229,"Quartas, das 12h às 24h Quintas, das 12h às 24h Sextas, das 12h às 24h Sábados, das 12h às 24h Domingos, das 12h às 24h"
FALSE,Areias de Itacoatiara,Mix Mineiro,"2 Bolinhos de carne seca com requeijão e queijo minas, e 2 de linguiça mineira com requeijão e queijo minas. Acompanhados de chips de aipim e pesto de pimenta biquinho.",,"Estrada Francisco da Cruz Nunes, 11500 | Itaipu, Niterói – RJ",Itaipu,"https://www.google.com/maps/search/?api=1&query=Estrada%20Francisco%20da%20Cruz%20Nunes,%2011500%20|%20Itaipu,%20Niterói%20–%20RJ",http://www.comidadibuteco.com.br/areias-de-itacoatiara/,(21) 3628-4427,"Segundas, das 11h à 1hTerças, das 11h à 1hQuartas, das 11h à 1hQuintas, das 11h à 1hSextas, das 11h à 1hSábados, das 11h à 1hDomingos, das 11h à 1h"
FALSE,Armazém São Thiago / Bar do Gomes,Hamburguinho de botequim,"Hamburguinho de batata-doce e recheio de costela bovina, com barriga de porco, molho gorgonzola.",,"Rua Áurea, 26 – Loja | Santa Teresa, Rio de Janeiro – RJ",Santa Teresa,"https://www.google.com/maps/search/?api=1&query=Rua%20Áurea,%2026%20–%20Loja%20|%20Santa%20Teresa,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/armazem-sao-thiago-bar-do-gomes/,(21) 2232-0822,"Segundas, das 16h às 24hTerças, das 16h às 24hQuartas, das 16h às 24hQuintas, das 16h às 24hSextas, das 12h às 24hSábados, das 12h às 24hDomingos, das 12h às 23h"
FALSE,Art Chopp,Nosso Porquinho deu Cuscuz!,"Copa lombo defumado em lenha de macieira, desfiado e servido com farofa de cuscuz nordestino.",,"Rua Estrada Macembu, 63 | Taquara, Rio de Janeiro – RJ",Taquara,"https://www.google.com/maps/search/?api=1&query=Rua%20Estrada%20Macembu,%2063%20|%20Taquara,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/art-chopp/,(21) 99566-8424,"Terças, das 17h à 0h30Quartas, das 17h à 0h30Quintas, das 17h à 0h30Sextas, das 17h à 0h30Sábados, das 12h à 0h30Domingos, das 12h às 24h"
FALSE,Baixo Araguaia,Entrevero Carioca,"Espeto com deliciosa mistura de carnes e defumados acompanhados de abacaxi, farofa de bacon e vinagrete.",,"Endereço: Rua Araguaia, 1709 | Freguesia de Jacarepaguá, Rio de Janeiro – RJ",Freguesia de Jacarepaguá,"https://www.google.com/maps/search/?api=1&query=Endereço:%20Rua%20Araguaia,%201709%20|%20Freguesia%20de%20Jacarepaguá,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/baixo-araguaia/,(21) 3392-3760,"Segundas, das 18h às 24hTerças, das 18h às 24hQuartas, das 18h às 24hQuintas, das 18h às 24hSextas, das 18h às 24hSábados, das 12h às 24hDomingos, das 12h às 22h"
FALSE,Baixo Gago,Amoela,"Moela à milanesa com crispy de couve, acompanhado de tutu levemente apimentado.",,"Rua Gago Coutinho, 51, 51 | Laranjeiras, Rio de Janeiro – RJ",Laranjeiras,"https://www.google.com/maps/search/?api=1&query=Rua%20Gago%20Coutinho,%2051,%2051%20|%20Laranjeiras,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/baixo-gago/,(21) 2556-0638,"Segundas, das 11h às 22hTerças, das 11h às 22hQuartas, das 11h às 24hQuintas, das 11h às 24hSextas, das 11h às 24hSábados, das 11h às 24hDomingos, das 11h às 18h"
FALSE,Balaio do Zé,Balainhos Confitados do Zé,"Massa tenra crocante recheada com creme de queijo, filés de pescados confitados com tomatinho e cebola em azeite de ervas e especiarias.",,"Travessa Tamoios, 40 – Loja A | Flamengo, Rio de Janeiro – RJ",Flamengo,"https://www.google.com/maps/search/?api=1&query=Travessa%20Tamoios,%2040%20–%20Loja%20A%20|%20Flamengo,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/balaio-do-ze/,(21) 3796-5340,"Segundas, das 11h30 às 24hTerças, das 11h30 às 24hQuartas, das 11h30 às 24hQuintas, das 11h30 às 24hSextas, das 11h30 às 24hSábados, das 11h30 às 24hDomingos, das 11h30 às 24h"
FALSE,Balbino’s – Delícia de Costela,Delícia de Costela,Croquetes de costela servidos com geleia de pimenta da casa e mostarda escura.,,"Praça Do Bandolim, 296 | Curicica, Rio de Janeiro – RJ",Curicica,"https://www.google.com/maps/search/?api=1&query=Praça%20Do%20Bandolim,%20296%20|%20Curicica,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/balbino-delicia-de-costela/,(21) 2441-0747,"Quartas, das 11h30 às 18hQuintas, das 11h30 às 20hSextas, das 11h30 às 20hSábados, das 11h30 às 20hDomingos, das 11h30 às 18h"
FALSE,Bar da Gema,Ancestralidade,"Deliciosa moela com bacon no molho da casa, coberta por uma polenta mole com farofa de bacon.",,"Rua Barão de Mesquita, 615 – Lojas C e D | Tijuca, Rio de Janeiro – RJ",Tijuca,"https://www.google.com/maps/search/?api=1&query=Rua%20Barão%20de%20Mesquita,%20615%20–%20Lojas%20C%20e%20D%20|%20Tijuca,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-da-gema/,(21) 3549-0857,"Terças, das 17h às 23hQuartas, das 17h às 23hQuintas, das 17h às 23hSextas, das 17h às 23hSábados, das 12h às 23hDomingos, das 12h às 17h"
FALSE,Bar da Laura,Bolinéte,Bolinho com massa de batata e frango recheado com catupiry e calabresa.,,"Rua Visconde do Uruguai, 183 | Centro, Niterói – RJ",Centro,"https://www.google.com/maps/search/?api=1&query=Rua%20Visconde%20do%20Uruguai,%20183%20|%20Centro,%20Niterói%20–%20RJ",http://www.comidadibuteco.com.br/bar-da-laura/,(21) 99981-4199,"Segundas, das 10h às 24hTerças, das 10h às 24hQuartas, das 10h às 24hQuintas, das 10h às 24hSextas, das 10h às 24hSábados, das 12h às 24hDomingos, das 12h às 24h"
FALSE,Bar da Portuguesa,Romário e Edmundo,Deliciosas torteletes da Dondon nos sabores bacalhau e siri.,,"Rua Custódio Nunes, 155 – Loja D | Ramos, Rio de Janeiro – RJ",Ramos,"https://www.google.com/maps/search/?api=1&query=Rua%20Custódio%20Nunes,%20155%20–%20Loja%20D%20|%20Ramos,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-da-portuguesa/,(21) 3486-2472,"Terças, das 17h30 às 23hQuartas, das 17h30 às 23hQuintas, das 17h30 às 23hSextas, das 17h30 às 24hSábados, das 12h às 21hDomingos, das 12h às 17h"
FALSE,Bar do David,Ousadia,"Bolinho de abóbora com ora-pro-nóbis e coco, recheado com camarão.",,"Ladeira Ari Barroso, 66 – Chapéu Mangueira -Loja 3 | Leme, Rio de Janeiro – RJ",Leme,"https://www.google.com/maps/search/?api=1&query=Ladeira%20Ari%20Barroso,%2066%20–%20Chapéu%20Mangueira%20-Loja%203%20|%20Leme,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-david/,(21) 96483-1046,"Terças, das 12h às 21hQuartas, das 12h às 21hQuintas, das 12h às 21hSextas, das 12h às 22hSábados, das 12h às 22hDomingos, das 12h às 22h"
FALSE,Bar do Elson,Chalanas da Gigóia,"Barcas de mandioca com carne de sol, cebola crispy e geleia de pimenta.",,"Alameda Dalton Barreto (Ilha da Gigóia), 40 – Loja | Barra da Tijuca, Rio de Janeiro – RJ",Barra da Tijuca,"https://www.google.com/maps/search/?api=1&query=Alameda%20Dalton%20Barreto%20(Ilha%20da%20Gigóia),%2040%20–%20Loja%20|%20Barra%20da%20Tijuca,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-elson/,(21) 99030-6764,"Segundas, das 11h às 23hTerças, das 11h às 23hQuartas, das 11h às 23hQuintas, das 11h às 23hSextas, das 11h às 23hSábados, das 11h às 23hDomingos, das 11h às 23h"
FALSE,Bar do Gallo,Dois Amores que Debutam,"Tradicional feijão branco feito com costela, lombo e calabresa e uma deliciosa dobradinha bem temperada ao molho. Juntando os dois, formamos a maravilhosa Tripa Lombeira Portuguesa. Junto vem um brinde de comer amando.",,"Rua Cidade do Rio, 185 | Taquara, Rio de Janeiro – RJ",Taquara,"https://www.google.com/maps/search/?api=1&query=Rua%20Cidade%20do%20Rio,%20185%20|%20Taquara,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-gallo/,(21) 96447-3827,"Terças, das 16h às 22hQuartas, das 16h às 22hQuintas, das 16h às 22hSextas, das 16h às 22hSábados, das 12h às 23hDomingos, das 12h às 21h"
FALSE,Bar do Jorginho,Cura Ressaca na Beira do Mar,"Moqueca de banana-da-terra com camarão, acompanhados de farofa de camarão e torrada.",,"Praia Praia de Itaipu, 20 – A | Itaipu, Niterói – RJ",Itaipu,"https://www.google.com/maps/search/?api=1&query=Praia%20Praia%20de%20Itaipu,%2020%20–%20A%20|%20Itaipu,%20Niterói%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-jorginho/,(21) 98776-0770,"Segundas, das 9h às 17hTerças, das 9h às 17hQuartas, das 9h às 17hQuintas, das 9h às 17hSábados, das 9h às 17hSábados, das 9h às 17hDomingos, das 9h às 17h"
FALSE,Bar do Mariano,O Bom Filho À Casa Torna,"Pão aberto com blend de carnes desfiadas temperadas ao vinho tinto seco com especiarias da casa e queijo, acompanha molho barbecue e alho torrado.",,"Rua Professor Valadares, 78 | Grajaú, Rio de Janeiro – RJ",Grajaú,"https://www.google.com/maps/search/?api=1&query=Rua%20Professor%20Valadares,%2078%20|%20Grajaú,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-mariano/,(21) 2578-1232,"Segundas, das 11h30 às 22h30Terças, das 11h30 às 22h30Quartas, das 11h30 às 22h30Quintas, das 11h30 às 22h30Sextas, das 11h30 às 24hSábados, das 11h30 às 24hDomingos, das 11h30 às 22h30"
FALSE,Bar do Mineiro,Triângulo Mineiro,"Seis bolinhos: dois de frango com quiabo e angu (polenta), 2 de linguiça com queijo e 2 de jiló com linguiça.",,"Rua Paschoal Carlos Magno, 99 | Santa Teresa, Rio de Janeiro – RJ",Santa Teresa,"https://www.google.com/maps/search/?api=1&query=Rua%20Paschoal%20Carlos%20Magno,%2099%20|%20Santa%20Teresa,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-mineiro/,(21) 2221-9227,"Terças, das 11h às 23hQuartas, das 11h às 23hQuintas, das 11h às 23hSextas, das 11h às 23hSábados, das 11h às 23hDomingos, das 11h às 22h"
FALSE,Bar do Momo,Agora Eu sou Diretoria,"Maçã do peito com polenta, acompanha vinagrete de pimenta-de-cheiro.",,"Rua General Espírito Santo Cardoso, 50 – Loja A | Tijuca, Rio de Janeiro – RJ",Tijuca,"https://www.google.com/maps/search/?api=1&query=Rua%20General%20Espírito%20Santo%20Cardoso,%2050%20–%20Loja%20A%20|%20Tijuca,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-momo/,(21) 2570-9389,"Segundas, das 12h às 22hQuartas, das 12h às 22hQuintas, das 12h às 22hSextas, das 12h às 22hSábados, das 12h às 22h"
FALSE,Bar do Omar,Caldo de Aipim com Camarão Contado,Caldo de aipim com camarão.,,"Rua Sara, 114 | Santo Cristo, Rio de Janeiro – RJ",Santo Cristo,"https://www.google.com/maps/search/?api=1&query=Rua%20Sara,%20114%20|%20Santo%20Cristo,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-omar/,(21) 95905-0680,"Quintas, das 17h às 23hSextas, das 17h às 24hSábados, das 12h às 24hDomingos, das 12h às 22h"
FALSE,Bar do Pernambuco,Surpresinha da Antonia,Delicioso creme de aipim com rabada desfiada e molho de agrião.,,"Rua Marechal Deodoro, 216 | Centro, Niterói – RJ",Centro,"https://www.google.com/maps/search/?api=1&query=Rua%20Marechal%20Deodoro,%20216%20|%20Centro,%20Niterói%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-pernambuco/,(21) 3617-7010,"Segundas, das 11h às 23hTerças, das 11h às 23hQuartas, das 11h às 23hQuintas, das 11h às 23hSextas, das 11h às 23hSábados, das 11h às 23h"
FALSE,Bar do Tino,"Demorei, Mas Cheguei Defumado",Panquecas coloridas (tradicional e espinafre) com recheio de costela suína no bafo defumada com bacon e muçarela. Molho de tomate com queijo parmesão.,,"Rua Almirante Alexandrino, 3780 | Santa Teresa, Rio de Janeiro – RJ",Santa Teresa,"https://www.google.com/maps/search/?api=1&query=Rua%20Almirante%20Alexandrino,%203780%20|%20Santa%20Teresa,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-do-tino/,(21) 3490-3078,"Quintas, das 12h às 19hSextas, das 12h às 19hSábados, das 12h às 19hDomingos, das 12h às 19h"
FALSE,Bar du Barão,Nobre Polenta na Costela Du Barão,"Polenta frita, crocante por fora e macia por dentro, com uma camada de queijo derretido, suculenta costelinha suína desfiada, molho teriyaki, gergelim preto e branco e salsinha.",,"Rua Castro Barbosa, 36 – Loja A | Grajaú.- Rio de Janeiro - RJ",Grajaú,"https://www.google.com/maps/search/?api=1&query=Rua%20Castro%20Barbosa,%2036%20–%20Loja%20A%20|%20Grajaú.-%20Rio%20de%20Janeiro%20-%20RJ",http://www.comidadibuteco.com.br/bar-du-barao/,(21) 98458-9484,"Terças, das 16h às 24hQuartas, das 16h às 24hQuintas, das 00h às 24hSextas, das 00h às 24hSábados, das 11h às 23hDomingos, das 11h às 23h"
FALSE,Bar Palhinha,Arca de Noé,Arca de abobrinha recheada com camarão e gratinada com queijo.,,"Rua Humaitá, 12 – Loja C | Humaitá, Rio de Janeiro – RJ",Humaitá,"https://www.google.com/maps/search/?api=1&query=Rua%20Humaitá,%2012%20–%20Loja%20C%20|%20Humaitá,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-palhinha/,(21) 2539-5709,"Terças, das 12h às 24hQuartas, das 12h às 24hQuintas, das 12h às 24hSextas, das 12h às 24hSábados, das 12h às 24hDomingos, das 12h às 20h"
FALSE,Bar Sambódromo,Tirando a Barriga da Miséria,Bolinho de batata recheado com barriga de porco defumada.,,"Avenida Salvador De Sá, 77 | Cidade Nova, Rio de Janeiro – RJ",Cidade Nova,"https://www.google.com/maps/search/?api=1&query=Avenida%20Salvador%20De%20Sá,%2077%20|%20Cidade%20Nova,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-sambodromo/,(21) 2293-6703,"Terças, das 12h às 23hQuartas, das 12h às 23hQuintas, das 12h às 23hSextas, das 12h às 23hSábados, das 12h às 23hDomingos, das 12h às 23h"
FALSE,Bar Santo Remédio,Abóbora Solar,"Delicioso bolinho de abóbora cabotiá recheado com carne de sol e requeijão do Norte de fundo de tacho, para uma cremosidade única. Acompanha um refrescante molho lambão de abóbora, tomate, gengibre, cebola roxa e pimentas.",,"Rua Barão de Mesquita, 922 | Grajaú, Rio de Janeiro – RJ",Grajaú,"https://www.google.com/maps/search/?api=1&query=Rua%20Barão%20de%20Mesquita,%20922%20|%20Grajaú,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-santo-remedio/,(21) 3217-3515,"Terças, das 12h às 22hQuartas, das 12h às 22hQuintas, das 12h às 22hSextas, das 12h às 23hSábados, das 12h às 23hDomingos, das 12h às 18h"
FALSE,Bar Simplesmente,Porco do Simples,Sanduíche de pernil regado com molhos da casa.,,"Rua Paschoal Carlos Magno, 115 | Santa Teresa, Rio de Janeiro – RJ",Santa Teresa,"https://www.google.com/maps/search/?api=1&query=Rua%20Paschoal%20Carlos%20Magno,%20115%20|%20Santa%20Teresa,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bar-simplesmente/,(21) 2507-1365,"Terças, das 16h às 24hQuartas, das 16h às 24hQuintas, das 16h às 24hSextas, das 16h às 24hSábados, das 12h às 24hDomingos, das 12h às 24h"
FALSE,Berton Botequim e Restaurante,Porco Atolado,Três cubos (240g) de costela suína desfiada com camada de purê de batata baroa e molho barbecue defumado com raspa de rapadura.,,"Rua Geraldo Martins, 54 – Loja 101/102 | Icaraí, Niterói – RJ",Icaraí,"https://www.google.com/maps/search/?api=1&query=Rua%20Geraldo%20Martins,%2054%20–%20Loja%20101/102%20|%20Icaraí,%20Niterói%20–%20RJ",http://www.comidadibuteco.com.br/berton-botequim-e-restaurante/,(21) 36296545,"Segundas, das 11h às 2hTerças, das 11h às 2hQuartas, das 11h às 2hQuintas, das 11h às 2hSextas, das 11h às 2hSábados, das 11h às 2hDomingos, das 11h às 2h"
FALSE,Biroska do Camarão,Que tititi é esse?,Abobrinha recheada com filé-mignon suíno acompanhado de molho de abacaxi.,,"Rua Antônio Sales, 4 | Colônia Z10, Rio de Janeiro – RJ",Colônia Z10,"https://www.google.com/maps/search/?api=1&query=Rua%20Antônio%20Sales,%204%20|%20Colônia%20Z10,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/biroska-do-camarao/,(21) 98900-8547,"Quartas, das 12h às 22h30Quintas, das 12h às 22h30Sextas, das 12h às 22h30Sábados, das 12h às 22h30Domingos, das 12h às 18h"
FALSE,Bistrô Aconchego,Temos Banana!,Angu de banana verde com ragu de linguiça. Surpreendentemente delicioso!,,"Rua Das Rosas, 1500 | Vila Valqueire, Rio de Janeiro – RJ",Vila Valqueire,"https://www.google.com/maps/search/?api=1&query=Rua%20Das%20Rosas,%201500%20|%20Vila%20Valqueire,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bistro-aconchego/,(21) 98284-3962,"Terças, das 18h às 23hQuartas, das 18h às 23hQuintas, das 18h às 23hSextas, das 18h às 24hSábados, das 12h à 1hDomingos, das 12h às 22h"
FALSE,Bobô Bar,Deu Match! Esse Encontro Não é Bolinho Não!,"Dupla de bolinhos: 2 bolinhos de feijoada recheados com couve, linguiça fina e bacon. 2 bolinhos de arroz com blend de queijo, bacon, salsinha e molho chutney apimentado.",,"Rua Manuela Barbosa, 45 | Méier, Rio de Janeiro – RJ",Méier,"https://www.google.com/maps/search/?api=1&query=Rua%20Manuela%20Barbosa,%2045%20|%20Méier,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bobo-bar/,(21) 3495-8223,"Segundas, das 17h à 23h30Terças, das 17h à 23h30Quartas, das 17h à 23h30Quintas, das 17h à 23h30Sextas, das 17h à 1hSábados, das 12h à 1hDomingos, das 12h às 23h"
FALSE,Bode Cheiroso,Junto e Misturado,Ragu de rabada com purê de batata e queijo. Acompanha pesto de agrião e pimenta.,,"Rua General Canabarro, 218 | Maracanã, Rio de Janeiro – RJ",Maracanã,"https://www.google.com/maps/search/?api=1&query=Rua%20General%20Canabarro,%20218%20|%20Maracanã,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/bode-cheiroso/,(21) 2568-9511,"Quartas, das 11h às 21hQuintas, das 11h às 21hSextas, das 11h às 21hSábados, das 11h às 21hDomingos, das 11h às 17h"
FALSE,Boemia Social Clube,A União faz a Força e Uniu a Rabada e a Tapioca!,Empadinha de tapioca com recheio de rabada. Acompanha geleia de bacon apimentada.,,"Avenida Oliveira Belo, 1180 – Loja E | Vila da Penha, Rio de Janeiro – RJ",Vila da Penha,"https://www.google.com/maps/search/?api=1&query=Avenida%20Oliveira%20Belo,%201180%20–%20Loja%20E%20|%20Vila%20da%20Penha,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/boemia-social-clube/,(21) 3190-5979,"Segundas, das 12h às 24hTerças, das 12h às 24hQuartas, das 12h às 24hQuintas, das 12h às 24hSextas, das 12h às 24hSábados, das 12h às 24hDomingos, das 12h às 24h"
FALSE,Booze Bar,Bacon porque te quiero,"Suculento creme de bacon, cream cheese, parmesão e cebola roxa, servido com tortilhas supercrocantes temperadas com especiarias e bacon caramelizado.",,"Avenida Mem de Sá, 63 | Lapa, Rio de Janeiro – RJ",Lapa,"https://www.google.com/maps/search/?api=1&query=Avenida%20Mem%20de%20Sá,%2063%20|%20Lapa,%20Rio%20de%20Janeiro%20–%20RJ",http://www.comidadibuteco.com.br/booze-bar/,(21) 2252-1588,"Terças, das 12h às 23hQuartas, das 12h às 23hQuintas, das 12h às 24hSextas, das 12h à 1hSábados, das 12h à 1hDomingos, das 12h às 17h"
